"网金社酒店代码"	"对应酒店代码"
"H00038474"	"1641681"
"H00062851"	"1641702"
"H00023550"	"1641763"
"H00051996"	"1641789"
"H00062708"	"1642434"
"H00023526"	"1645574"
"H00114454"	"1645862"
"H00013916"	"1646395"
"H00029738"	"1647214"
"H00013911"	"1649355"
"H00013904"	"1665362"
"H00013899"	"1665910"
"H00023520"	"1674749"
"H00002308"	"1677110"
"H00043640"	"1678233"
"H00002303"	"1682961"
"H00013889"	"1683509"
"H00002330"	"1683567"
"H00023514"	"1683592"
"H00013837"	"1683729"
"H00043648"	"1685485"
"H00012158"	"1686141"
"H00028720"	"1694202"
"H00125668"	"1697285"
"H00023498"	"1700971"
"H00013802"	"1701265"
"H00032700"	"1703172"
"H00124068"	"1707138"
"H00023473"	"1709916"
"H00002476"	"1714162"
"H00013778"	"1714409"
"H00023447"	"1714425"
"H00110094"	"1714430"
"H00118089"	"1714497"
"H00002470"	"1714542"
"H00013763"	"1714575"
"H00013758"	"1714614"
"H00002482"	"1714622"
"H00023398"	"1714662"
"H00028709"	"1714706"
"H00013750"	"1714712"
"H00114804"	"1714737"
"H00062687"	"1714756"
"H00013735"	"1714765"
"H00013731"	"1714811"
"H00043722"	"1715679"
"H00011671"	"1717685"
"H00013713"	"1726618"
"H00013709"	"1726658"
"H00013676"	"1726686"
"H00023344"	"1726733"
"H00013670"	"1726897"
"H00044824"	"1729080"
"H00110694"	"1729199"
"H00013638"	"1729500"
"H00023281"	"1729639"
"H00114472"	"1729720"
"H00002538"	"1732475"
"H00023223"	"1732489"
"H00023211"	"1732676"
