"网金社酒店代码"	"对应酒店代码"
"H00000540"	"163286153"
"H00000541"	"90293969"
"H00000542"	"160565635"
"H00000543"	"163527158"
"H00000544"	"1685794781"
"H00000545"	"4786693"
"H00000546"	"5481530"
"H00000547"	"163473308"
"H00000548"	"157078848"
"H00000549"	"6351927"
"H00000550"	"163476540"
"H00000551"	"5455568"
"H00000552"	"1223242"
"H00000553"	"2518754"
"H00000554"	"162782268"
"H00000555"	"163529356"
"H00000556"	"358679"
"H00000557"	"3250261"
"H00000558"	"1342033803"
"H00000559"	"163480231"
"H00000560"	"3253086"
"H00000561"	"163523780"
"H00000562"	"163330815"
"H00000563"	"4004523"
"H00000564"	"163577689"
"H00000565"	"693954"
"H00000566"	"5599595"
"H00000567"	"721031"
"H00000568"	"4429135"
"H00000569"	"163230145"
"H00000570"	"75207933"
"H00000571"	"1253843"
"H00000572"	"5298484"
"H00000573"	"163525779"
"H00000574"	"973995636"
"H00000575"	"42929835"
"H00000576"	"163013353"
"H00000577"	"162150013"
"H00000578"	"2566168"
"H00000579"	"178893221"
"H00000580"	"2460263"
"H00000581"	"42237309"
"H00000582"	"4711387"
"H00000583"	"163576962"
"H00000584"	"182017396"
"H00000585"	"41978859"
"H00000586"	"2031671"
"H00000587"	"4572306"
"H00000588"	"1458960"
"H00000589"	"2711960"
"H00000590"	"6880700"
"H00000591"	"1122487974"
"H00000592"	"165151062"
"H00000593"	"163525381"
"H00000594"	"162992411"
"H00000595"	"150308921"
"H00000596"	"163533517"
"H00000597"	"163588464"
"H00000598"	"163493587"
"H00000599"	"90037988"
"H00000600"	"5716311"
"H00000601"	"57624"
"H00000602"	"4274367"
"H00000603"	"163243884"
"H00000604"	"5585512"
"H00000605"	"98576978"
"H00000606"	"5347988"
"H00000607"	"83601595"
"H00000608"	"4480001"
"H00000609"	"40353944"
"H00000610"	"163426751"
"H00000611"	"163896692"
"H00000612"	"163587872"
"H00000613"	"163896450"
"H00000614"	"167548103"
"H00000615"	"4627205"
"H00000616"	"163591863"
"H00000617"	"163287471"
"H00000618"	"159692011"
"H00000619"	"191485124"
"H00000620"	"6534604"
"H00000621"	"4555973"
"H00000622"	"163167703"
"H00000623"	"1127948715"
"H00000624"	"4989439"
"H00000625"	"163591486"
"H00000626"	"2166912"
"H00000627"	"6004631"
"H00000628"	"40857929"
"H00000629"	"52570706"
"H00000630"	"163896542"
"H00000631"	"190634719"
"H00000632"	"1535417"
"H00000633"	"163347279"
"H00000634"	"184052093"
"H00000635"	"191175585"
"H00000636"	"2289770"
"H00000637"	"163187028"
"H00000638"	"163581574"
"H00000639"	"5425385"
"H00000640"	"40835420"
"H00000641"	"5745992"
"H00000642"	"163537076"
"H00000643"	"164268030"
"H00000644"	"160063316"
"H00000645"	"41064800"
"H00000646"	"163981632"
"H00000647"	"1251535916"
"H00000648"	"42162143"
"H00000649"	"195083169"
"H00000650"	"162938472"
"H00000651"	"160721239"
"H00000652"	"6121867"
"H00000653"	"163542201"
"H00000654"	"42825165"
"H00000655"	"4070600"
"H00000656"	"436905"
"H00000657"	"165277527"
"H00000658"	"163984238"
"H00000659"	"42923573"
"H00000660"	"2486829"
"H00000661"	"4409363"
"H00000662"	"163975541"
"H00000663"	"163507779"
"H00000664"	"4762229"
"H00000665"	"6158614"
"H00000666"	"2431535"
"H00000667"	"179575783"
"H00000668"	"1918214798"
"H00000669"	"91503067"
"H00000670"	"163165994"
"H00000671"	"5383916"
"H00000672"	"6833219"
"H00000673"	"40400104"
"H00000674"	"163979663"
"H00000675"	"5981810"
"H00000676"	"62476134"
"H00000677"	"853545"
"H00000678"	"163979881"
"H00000679"	"1247020"
"H00000680"	"5003616"
"H00000681"	"163446027"
"H00000682"	"6515940"
"H00000683"	"163976903"
"H00000684"	"163728173"
"H00000685"	"953569660"
"H00000686"	"5139485"
"H00000687"	"2619207"
"H00000688"	"4998337"
"H00000689"	"944992"
"H00000690"	"5556454"
"H00000691"	"4895441"
"H00000692"	"5903597"
"H00000693"	"4622753"
"H00000694"	"5500988"
"H00000695"	"4778301"
